vehicle_type,brand,model
motos,Kawasaki,Z300
motos,Kawasaki,Z400
motos,Kawasaki,Z500
motos,Kawasaki,Z650
motos,Kawasaki,Z650 RS
motos,Kawasaki,Z750
motos,Kawasaki,Z750 R
motos,Kawasaki,Z750 S
motos,Kawasaki,Z800
motos,Kawasaki,Z900
motos,Kawasaki,Z900 RS
motos,Kawasaki,Z900 RS Cafe
motos,Kawasaki,Z900 RS SE
motos,Kawasaki,Z1000
motos,Kawasaki,Z1000 SX
motos,Kawasaki,Z1000 R
motos,Kawasaki,ZR-7
motos,Kawasaki,ZR-7 S
motos,Kawasaki,ZRX1100
motos,Kawasaki,ZRX1200
motos,KTM,125 Duke
motos,KTM,125 EXC
motos,KTM,125 SX
motos,KTM,200 Duke
motos,KTM,200 EXC
motos,KTM,250 Adventure
motos,KTM,250 Duke
motos,KTM,250 EXC
motos,KTM,250 EXC-F
motos,KTM,250 SX
motos,KTM,250 SX-F
motos,KTM,300 EXC
motos,KTM,300 EXC TPI
motos,KTM,300 XC
motos,KTM,350 EXC-F
motos,KTM,350 SX-F
motos,KTM,390 Adventure
motos,KTM,390 Duke
motos,KTM,390 RC
motos,KTM,450 EXC-F
motos,KTM,450 Rally
motos,KTM,450 SMR
motos,KTM,450 SX-F
motos,KTM,500 EXC-F
motos,KTM,690 Duke
motos,KTM,690 Duke R
motos,KTM,690 Enduro
motos,KTM,690 Enduro R
motos,KTM,690 SMC
motos,KTM,690 SMC R
motos,KTM,790 Adventure
motos,KTM,790 Adventure R
motos,KTM,790 Duke
motos,KTM,890 Adventure
motos,KTM,890 Adventure R
motos,KTM,890 Adventure Rally
motos,KTM,890 Duke
motos,KTM,890 Duke R
motos,KTM,890 Duke GP
motos,KTM,990 Adventure
motos,KTM,990 Adventure Dakar
motos,KTM,990 Adventure S
motos,KTM,990 Duke
motos,KTM,990 RC R
motos,KTM,990 SMR
motos,KTM,990 SMT
motos,KTM,1050 Adventure
motos,KTM,1090 Adventure
motos,KTM,1090 Adventure R
motos,KTM,1190 Adventure
motos,KTM,1190 Adventure R
motos,KTM,1290 Super Adventure S
motos,KTM,1290 Super Adventure R
motos,KTM,1290 Super Adventure T
motos,KTM,1290 Super Duke GT
motos,KTM,1290 Super Duke R
motos,KTM,1290 Super Duke R EVO
motos,KTM,1290 Super Duke RR
motos,KTM,Freeride E-XC
motos,KTM,RC 125
motos,KTM,RC 390
motos,KTM,RC 8C
motos,KTM,Super Duke 990
motos,Kymco,AK 550
motos,Kymco,CV3
motos,Kymco,Dink 125
motos,Kymco,Dink 150
motos,Kymco,Dink 200
motos,Kymco,Dink 300
motos,Kymco,Dink Street 125
motos,Kymco,Dink Street 300
motos,Kymco,Downtown 125
motos,Kymco,Downtown 200
motos,Kymco,Downtown 300
motos,Kymco,Downtown 350
motos,Kymco,Exciting 125
motos,Kymco,Exciting 150
motos,Kymco,Exciting 250
motos,Kymco,Exciting 400
motos,Kymco,Exciting 500
motos,Kymco,GP 125
motos,Kymco,GP 150
motos,Kymco,K-Pipe 125
motos,Kymco,Like 125
motos,Kymco,Like 150
motos,Kymco,Like 200
motos,Kymco,People 50
motos,Kymco,People 125
motos,Kymco,People 150
motos,Kymco,People 200
motos,Kymco,People 250
motos,Kymco,People 300
motos,Kymco,People S 125
motos,Kymco,People S 200
motos,Kymco,People S 300
motos,Kymco,Quannon 125
motos,Kymco,Racy 50
motos,Kymco,Racy 125
motos,Kymco,Super 8 50
motos,Kymco,Super 8 125
motos,Kymco,Super 8 150
motos,Kymco,Superdink 125
motos,Kymco,Superdink 350
motos,Kymco,Xciting 250
motos,Kymco,Xciting 300
motos,Kymco,Xciting 400i
motos,Kymco,Xciting 500
motos,Kymco,Xciting S400
motos,Kymco,Yager 50
motos,Kymco,Yager 125
motos,Kymco,Z1
motos,Moto Guzzi,1000 Daytona RS
motos,Moto Guzzi,Audace
motos,Moto Guzzi,Audace Carbon
motos,Moto Guzzi,Breva 750
motos,Moto Guzzi,Breva 850
motos,Moto Guzzi,Breva 1100
motos,Moto Guzzi,Breva 1200 Sport
motos,Moto Guzzi,California 1100 EV
motos,Moto Guzzi,California 1100 Stone
motos,Moto Guzzi,California 1100 Titanium
motos,Moto Guzzi,California 1100 Special
motos,Moto Guzzi,California 1400 Custom
motos,Moto Guzzi,California 1400 Touring
motos,Moto Guzzi,California 1400 Eldorado
motos,Moto Guzzi,California 1400 Audace
motos,Moto Guzzi,Eldorado
motos,Moto Guzzi,Griso 850
motos,Moto Guzzi,Griso 1100
motos,Moto Guzzi,Griso 1200 8V
motos,Moto Guzzi,Griso 1200 8V SE
motos,Moto Guzzi,Le Mans 1000
motos,Moto Guzzi,Nevada 350
motos,Moto Guzzi,Nevada 750 Classic
motos,Moto Guzzi,Nevada 750 Club
motos,Moto Guzzi,Norge 850
motos,Moto Guzzi,Norge 1200 GT 8V
motos,Moto Guzzi,Sport 1100
motos,Moto Guzzi,Sport 1100 Injection
motos,Moto Guzzi,Centauro GT
motos,Moto Guzzi,Stelvio 1200
motos,Moto Guzzi,Stelvio 1200 8V
motos,Moto Guzzi,Stelvio 1200 NTX
motos,Moto Guzzi,V7 Classic
motos,Moto Guzzi,V7 Special
motos,Moto Guzzi,V7 Stone
motos,Moto Guzzi,V7 Racer
motos,Moto Guzzi,V7 Sport
motos,Moto Guzzi,V7 Stone 850
motos,Moto Guzzi,V7 Special 850
motos,Moto Guzzi,V7 Stone Centenario 850
motos,Moto Guzzi,V9 Bobber
motos,Moto Guzzi,V9 Roamer
motos,Moto Guzzi,V85 TT
motos,Moto Guzzi,V85 TT Travel
motos,Moto Guzzi,V85 TT Guardia d'Onore
motos,Moto Guzzi,V100 Mandello
motos,Moto Guzzi,V100 Mandello S
motos,MV Agusta,Brutale 750
motos,MV Agusta,Brutale 750 S
motos,MV Agusta,Brutale 910
motos,MV Agusta,Brutale 910 R
motos,MV Agusta,Brutale 910 Italia
motos,MV Agusta,Brutale 990
motos,MV Agusta,Brutale 990 R
motos,MV Agusta,Brutale 1000 Nurburgring
motos,MV Agusta,Brutale 1000 RR
motos,MV Agusta,Brutale 1000 RS
motos,MV Agusta,Brutale 1000 Serie Oro
motos,MV Agusta,Brutale 1000 RR RC
motos,MV Agusta,Brutale 1078
motos,MV Agusta,Brutale 1078 RR
motos,MV Agusta,Brutale 1090
motos,MV Agusta,Brutale 1090 R
motos,MV Agusta,Brutale 1090 RR
motos,MV Agusta,Dragster 800
motos,MV Agusta,Dragster 800 RR
motos,MV Agusta,Dragster 800 RC
motos,MV Agusta,Dragster RR SCS
motos,MV Agusta,Dragster RR Ago
motos,MV Agusta,Dragster RR America
motos,MV Agusta,F3 675
motos,MV Agusta,F3 675 Serie Oro
motos,MV Agusta,F3 675 Ago
motos,MV Agusta,F3 800
motos,MV Agusta,F3 800 RC
motos,MV Agusta,F3 800 RR
motos,MV Agusta,F4
motos,MV Agusta,F4 R
motos,MV Agusta,F4 CC
motos,MV Agusta,F4 RR
motos,MV Agusta,F4 RC
motos,MV Agusta,F4 Ago
motos,MV Agusta,F4 1000 Tamburini
motos,MV Agusta,F4 1000 R
motos,MV Agusta,F4 1000 312 RR
motos,MV Agusta,Rivale 800
motos,MV Agusta,Rush 1000
motos,MV Agusta,Stradale 800
motos,MV Agusta,Stradale 800 S
motos,MV Agusta,Superveloce 800
motos,MV Agusta,Superveloce 800 Serie Oro
motos,MV Agusta,Superveloce 800 S
motos,MV Agusta,Superveloce Alpine
motos,MV Agusta,Turismo Veloce 800
motos,MV Agusta,Turismo Veloce 800 Lusso
motos,MV Agusta,Turismo Veloce 800 S
motos,Peugeot Motocycles,Django 50
motos,Peugeot Motocycles,Django 125
motos,Peugeot Motocycles,Geopolis 125
motos,Peugeot Motocycles,Geopolis 250
motos,Peugeot Motocycles,Geopolis 300
motos,Peugeot Motocycles,Geopolis 400
motos,Peugeot Motocycles,Geopolis 500
motos,Peugeot Motocycles,Kisbee 50
motos,Peugeot Motocycles,Kisbee 100
motos,Peugeot Motocycles,Ludix 50
motos,Peugeot Motocycles,Metropolis 400 THP
motos,Peugeot Motocycles,Satelis 125
motos,Peugeot Motocycles,Satelis 250
motos,Peugeot Motocycles,Satelis 400
motos,Peugeot Motocycles,Satelis 500
motos,Peugeot Motocycles,Satelis 2 Plus 125
motos,Peugeot Motocycles,Speedfight 50
motos,Peugeot Motocycles,Speedfight 100
motos,Peugeot Motocycles,Speedfight 125
motos,Peugeot Motocycles,Sum-Up 125
motos,Peugeot Motocycles,Sum-Up 200
motos,Peugeot Motocycles,Tweet 50
motos,Peugeot Motocycles,Tweet 125
motos,Peugeot Motocycles,Tweet 150
motos,Peugeot Motocycles,Vivacity 50
motos,Peugeot Motocycles,Vivacity 125
motos,Piaggio,Beverly 125
motos,Piaggio,Beverly 250
motos,Piaggio,Beverly 300
motos,Piaggio,Beverly 350
motos,Piaggio,Beverly 400
motos,Piaggio,Beverly 500
motos,Piaggio,Fly 50
motos,Piaggio,Fly 125
motos,Piaggio,Fly 150
motos,Piaggio,Liberty 50
motos,Piaggio,Liberty 125
motos,Piaggio,Liberty 150
motos,Piaggio,Liberty 200
motos,Piaggio,MP3 125
