vehicle_type,brand,model
coches,Chery,Tiggo 10
coches,Chevrolet,Astro
coches,Chevrolet,Avalanche
coches,Chevrolet,Aveo
coches,Chevrolet,Blazer
coches,Chevrolet,Blazer EV
coches,Chevrolet,Bolt EV
coches,Chevrolet,Bolt EUV
coches,Chevrolet,Camaro
coches,Chevrolet,Captiva
coches,Chevrolet,Colorado
coches,Chevrolet,Corvette
coches,Chevrolet,Corvette C8
coches,Chevrolet,Corvette Z06
coches,Chevrolet,Corvette ZR1
coches,Chevrolet,Cruze
coches,Chevrolet,Equinox
coches,Chevrolet,Equinox EV
coches,Chevrolet,Express
coches,Chevrolet,HHR
coches,Chevrolet,Impala
coches,Chevrolet,Malibu
coches,Chevrolet,Monte Carlo
coches,Chevrolet,Niva
coches,Chevrolet,Orlando
coches,Chevrolet,Silverado
coches,Chevrolet,Silverado EV
coches,Chevrolet,Sonic
coches,Chevrolet,Spark
coches,Chevrolet,SSR
coches,Chevrolet,Suburban
coches,Chevrolet,Tahoe
coches,Chevrolet,Tracker
coches,Chevrolet,TrailBlazer
coches,Chevrolet,Traverse
coches,Chevrolet,Trax
coches,Chevrolet,Uplander
coches,Chevrolet,Volt
coches,Citroën,Berlingo
coches,Citroën,Berlingo Multispace
coches,Citroën,Berlingo Van
coches,Citroën,C1
coches,Citroën,C2
coches,Citroën,C3
coches,Citroën,C3 Aircross
coches,Citroën,C3 Picasso
coches,Citroën,C4
coches,Citroën,C4 Cactus
coches,Citroën,C4 Picasso
coches,Citroën,C4 Spacetourer
coches,Citroën,C4 X
coches,Citroën,C5
coches,Citroën,C5 Aircross
coches,Citroën,C5 Tourer
coches,Citroën,C5 X
coches,Citroën,C6
coches,Citroën,C8
coches,Citroën,Ë-C3
coches,Citroën,Ë-C3 Aircross
coches,Citroën,Ë-C4
coches,Citroën,Ë-C4 X
coches,Citroën,Ë-Jumpy
coches,Citroën,Ë-SpaceTourer
coches,Citroën,C-Crosser
coches,Citroën,C-Elysée
coches,Citroën,C-Zero
coches,Citroën,DS3
coches,Citroën,DS4
coches,Citroën,DS5
coches,Citroën,Grand C4 Picasso
coches,Citroën,Grand C4 SpaceTourer
coches,Citroën,Jumpy
coches,Citroën,Nemo
coches,Citroën,Saxo
coches,Citroën,SpaceTourer
coches,Citroën,Xantia
coches,Citroën,Xsara
coches,Citroën,Xsara Picasso
coches,Citroën,ZX
coches,Cupra,Ateca
coches,Cupra,Born
coches,Cupra,Formentor
coches,Cupra,Leon
coches,Cupra,Leon Sportstourer
coches,Cupra,Raval
coches,Cupra,Tavascan
coches,Cupra,Terramar
